,"Date","Account","Debit","Credit","Amount"
"Jan - Jun 11",,,,,
,"16/01/2011","1010 · DBS SGD","",177.19,-177.19
,"6/02/2011","1010 · DBS SGD",0.00,"",0.00
,"3/01/2011","1010 · DBS SGD","",3800.00,-3800.00
,"5/01/2011","1010 · DBS SGD","",3209.97,-3209.97
,"5/01/2011","1010 · DBS SGD","",216.63,-216.63
,"10/01/2011","1010 · DBS SGD",11623.50,"",11623.50
,"19/01/2011","1010 · DBS SGD","",776.00,-776.00
,"20/01/2011","1010 · DBS SGD","",134.54,-134.54
,"20/01/2011","1010 · DBS SGD","",2867.38,-2867.38
,"20/01/2011","1010 · DBS SGD","",134.82,-134.82
,"3/01/2011","1010 · DBS SGD","",3440.50,-3440.50
,"3/01/2011","1010 · DBS SGD","",24.00,-24.00
,"28/01/2011","1010 · DBS SGD","",7327.50,-7327.50
,"28/01/2011","1010 · DBS SGD","",4813.00,-4813.00
,"28/01/2011","1010 · DBS SGD","",4211.00,-4211.00
,"28/01/2011","1010 · DBS SGD","",847.50,-847.50
,"1/02/2011","1010 · DBS SGD","",3800.00,-3800.00
,"20/01/2011","1010 · DBS SGD",480.00,"",480.00
,"26/01/2011","1010 · DBS SGD","",216.88,-216.88
,"1/02/2011","1010 · DBS SGD","",3838.30,-3838.30
,"31/01/2011","1010 · DBS SGD",1245.00,"",1245.00
,"20/01/2011","1010 · DBS SGD","",15.00,-15.00
,"16/01/2011","1010 · DBS SGD","",68.00,-68.00
,"10/02/2011","1010 · DBS SGD","",2552.60,-2552.60
,"14/02/2011","1010 · DBS SGD","",114.09,-114.09
,"14/02/2011","1010 · DBS SGD","",252.08,-252.08
,"25/02/2011","1010 · DBS SGD","",4087.50,-4087.50
,"25/02/2011","1010 · DBS SGD","",2690.00,-2690.00
,"25/02/2011","1010 · DBS SGD","",2267.00,-2267.00
,"25/02/2011","1010 · DBS SGD","",1000.00,-1000.00
,"11/02/2011","1010 · DBS SGD","",6519.50,-6519.50
,"11/02/2011","1010 · DBS SGD","",33.00,-33.00
,"11/02/2011","1010 · DBS SGD","",51.00,-51.00
,"12/02/2011","1010 · DBS SGD","",99.21,-99.21
,"25/02/2011","1010 · DBS SGD",25336.64,"",25336.64
,"25/02/2011","1010 · DBS SGD","",10.00,-10.00
,"1/03/2011","1010 · DBS SGD","",3800.00,-3800.00
,"3/03/2011","1010 · DBS SGD","",980.49,-980.49
,"7/03/2011","1010 · DBS SGD","",3211.50,-3211.50
,"7/03/2011","1010 · DBS SGD","",3513.50,-3513.50
,"7/03/2011","1010 · DBS SGD","",24.00,-24.00
,"25/02/2011","1010 · DBS SGD","",143.48,-143.48
,"7/02/2011","1010 · DBS SGD",35820.40,"",35820.40
,"28/03/2011","1010 · DBS SGD","",4087.50,-4087.50
,"28/03/2011","1010 · DBS SGD","",2690.00,-2690.00
,"28/03/2011","1010 · DBS SGD","",2267.00,-2267.00
,"7/03/2011","1010 · DBS SGD","",310.54,-310.54
,"8/03/2011","1010 · DBS SGD","",468.16,-468.16
,"28/03/2011","1010 · DBS SGD","",725.00,-725.00
,"28/03/2011","1010 · DBS SGD","",214.60,-214.60
,"31/03/2011","1010 · DBS SGD",12538.00,"",12538.00
,"9/04/2011","1010 · DBS SGD","",3800.00,-3800.00
,"1/04/2011","1010 · DBS SGD","",3592.50,-3592.50
,"9/04/2011","1010 · DBS SGD","",3717.36,-3717.36
,"4/04/2011","1010 · DBS SGD","",6000.00,-6000.00
,"13/04/2011","1010 · DBS SGD",4217.00,"",4217.00
,"26/04/2011","1010 · DBS SGD",41100.00,"",41100.00
,"28/04/2011","1010 · DBS SGD","",4287.50,-4287.50
,"28/04/2011","1010 · DBS SGD","",2690.00,-2690.00
,"28/04/2011","1010 · DBS SGD","",2267.00,-2267.00
,"13/04/2011","1010 · DBS SGD","",32.10,-32.10
,"13/04/2011","1010 · DBS SGD","",2448.75,-2448.75
,"28/04/2011","1010 · DBS SGD","",700.00,-700.00
,"28/04/2011","1010 · DBS SGD","",2547.43,-2547.43
,"26/04/2011","1010 · DBS SGD",0.97,"",0.97
,"31/03/2011","1010 · DBS SGD","",15.00,-15.00
,"31/03/2011","1010 · DBS SGD",12495.00,"",12495.00
,"28/04/2011","1010 · DBS SGD","",9273.75,-9273.75
,"28/03/2011","1010 · DBS SGD","",170.74,-170.74
,"1/05/2011","1010 · DBS SGD","",3767.90,-3767.90
,"1/05/2011","1010 · DBS SGD","",3592.50,-3592.50
,"15/05/2011","1010 · DBS SGD","",3470.97,-3470.97
,"27/04/2011","1010 · DBS SGD","",241.09,-241.09
